time,x0,x1
0.001, 2.000000, 0.000000
0.002, 2.000000, 0.000000
0.003, 2.000000, 0.000000
0.004, 2.000000, 0.000000
0.005, 2.000000, 0.000000
0.006, 2.000000, 0.000000
0.007, 2.000000, 0.000000
0.008, 2.000000, 0.000000
0.009, 2.000000, 0.000000
0.01, 2.000000, -0.020000
0.011, 2.000000, -0.020000
0.012, 2.000000, -0.020000
0.013, 2.000000, -0.020000
0.014, 2.000000, -0.020000
0.015, 2.000000, -0.020000
0.016, 2.000000, -0.020000
0.017, 2.000000, -0.020000
0.018, 2.000000, -0.020000
0.019, 2.000000, -0.020000
0.02, 1.999800, -0.038800
0.021, 1.999800, -0.038800
0.022, 1.999800, -0.038800
0.023, 1.999800, -0.038800
0.024, 1.999800, -0.038800
0.025, 1.999800, -0.038800
0.026, 1.999800, -0.038800
0.027, 1.999800, -0.038800
0.028, 1.999800, -0.038800
0.029, 1.999800, -0.038800
0.03, 1.999412, -0.056471
0.031, 1.999412, -0.056471
0.032, 1.999412, -0.056471
0.033, 1.999412, -0.056471
0.034, 1.999412, -0.056471
0.035, 1.999412, -0.056471
0.036, 1.999412, -0.056471
0.037, 1.999412, -0.056471
0.038, 1.999412, -0.056471
0.039, 1.999412, -0.056471
0.04, 1.998847, -0.073079
0.041, 1.998847, -0.073079
0.042, 1.998847, -0.073079
0.043, 1.998847, -0.073079
0.044, 1.998847, -0.073079
0.045, 1.998847, -0.073079
0.046, 1.998847, -0.073079
0.047, 1.998847, -0.073079
0.048, 1.998847, -0.073079
0.049, 1.998847, -0.073079
0.05, 1.998117, -0.088690
0.051, 1.998117, -0.088690
0.052, 1.998117, -0.088690
0.053, 1.998117, -0.088690
0.054, 1.998117, -0.088690
0.055, 1.998117, -0.088690
0.056, 1.998117, -0.088690
0.057, 1.998117, -0.088690
0.058, 1.998117, -0.088690
0.059, 1.998117, -0.088690
0.06, 1.997230, -0.103363
0.061, 1.997230, -0.103363
0.062, 1.997230, -0.103363
0.063, 1.997230, -0.103363
0.064, 1.997230, -0.103363
0.065, 1.997230, -0.103363
0.066, 1.997230, -0.103363
0.067, 1.997230, -0.103363
0.068, 1.997230, -0.103363
0.069, 1.997230, -0.103363
0.07, 1.996196, -0.117156
0.071, 1.996196, -0.117156
0.072, 1.996196, -0.117156
0.073, 1.996196, -0.117156
0.074, 1.996196, -0.117156
0.075, 1.996196, -0.117156
0.076, 1.996196, -0.117156
0.077, 1.996196, -0.117156
0.078, 1.996196, -0.117156
0.079, 1.996196, -0.117156
0.08, 1.995024, -0.130124
0.081, 1.995024, -0.130124
0.082, 1.995024, -0.130124
0.083, 1.995024, -0.130124
0.084, 1.995024, -0.130124
0.085, 1.995024, -0.130124
0.086, 1.995024, -0.130124
0.087, 1.995024, -0.130124
0.088, 1.995024, -0.130124
0.089, 1.995024, -0.130124
0.09, 1.993723, -0.142319
0.091, 1.993723, -0.142319
0.092, 1.993723, -0.142319
0.093, 1.993723, -0.142319
0.094, 1.993723, -0.142319
0.095, 1.993723, -0.142319
0.096, 1.993723, -0.142319
0.097, 1.993723, -0.142319
0.098, 1.993723, -0.142319
0.099, 1.993723, -0.142319
0.1, 1.992300, -0.153788
0.101, 1.992300, -0.153788
0.102, 1.992300, -0.153788
0.103, 1.992300, -0.153788
0.104, 1.992300, -0.153788
0.105, 1.992300, -0.153788
0.106, 1.992300, -0.153788
0.107, 1.992300, -0.153788
0.108, 1.992300, -0.153788
0.109, 1.992300, -0.153788
0.11, 1.990762, -0.164579
0.111, 1.990762, -0.164579
0.112, 1.990762, -0.164579
0.113, 1.990762, -0.164579
0.114, 1.990762, -0.164579
0.115, 1.990762, -0.164579
0.116, 1.990762, -0.164579
0.117, 1.990762, -0.164579
0.118, 1.990762, -0.164579
0.119, 1.990762, -0.164579
0.12, 1.989116, -0.174733
0.121, 1.989116, -0.174733
0.122, 1.989116, -0.174733
0.123, 1.989116, -0.174733
0.124, 1.989116, -0.174733
0.125, 1.989116, -0.174733
0.126, 1.989116, -0.174733
0.127, 1.989116, -0.174733
0.128, 1.989116, -0.174733
0.129, 1.989116, -0.174733
0.13, 1.987369, -0.184292
0.131, 1.987369, -0.184292
0.132, 1.987369, -0.184292
0.133, 1.987369, -0.184292
0.134, 1.987369, -0.184292
0.135, 1.987369, -0.184292
0.136, 1.987369, -0.184292
0.137, 1.987369, -0.184292
0.138, 1.987369, -0.184292
0.139, 1.987369, -0.184292
0.14, 1.985526, -0.193294
0.141, 1.985526, -0.193294
0.142, 1.985526, -0.193294
0.143, 1.985526, -0.193294
0.144, 1.985526, -0.193294
0.145, 1.985526, -0.193294
0.146, 1.985526, -0.193294
0.147, 1.985526, -0.193294
0.148, 1.985526, -0.193294
0.149, 1.985526, -0.193294
0.15, 1.983593, -0.201774
0.151, 1.983593, -0.201774
0.152, 1.983593, -0.201774
0.153, 1.983593, -0.201774
0.154, 1.983593, -0.201774
0.155, 1.983593, -0.201774
0.156, 1.983593, -0.201774
0.157, 1.983593, -0.201774
0.158, 1.983593, -0.201774
0.159, 1.983593, -0.201774
0.16, 1.981575, -0.209767
0.161, 1.981575, -0.209767
0.162, 1.981575, -0.209767
0.163, 1.981575, -0.209767
0.164, 1.981575, -0.209767
0.165, 1.981575, -0.209767
0.166, 1.981575, -0.209767
0.167, 1.981575, -0.209767
0.168, 1.981575, -0.209767
0.169, 1.981575, -0.209767
0.17, 1.979478, -0.217305
0.171, 1.979478, -0.217305
0.172, 1.979478, -0.217305
0.173, 1.979478, -0.217305
0.174, 1.979478, -0.217305
0.175, 1.979478, -0.217305
0.176, 1.979478, -0.217305
0.177, 1.979478, -0.217305
0.178, 1.979478, -0.217305
0.179, 1.979478, -0.217305
0.18, 1.977305, -0.224416
0.181, 1.977305, -0.224416
0.182, 1.977305, -0.224416
0.183, 1.977305, -0.224416
0.184, 1.977305, -0.224416
0.185, 1.977305, -0.224416
0.186, 1.977305, -0.224416
0.187, 1.977305, -0.224416
0.188, 1.977305, -0.224416
0.189, 1.977305, -0.224416
0.19, 1.975061, -0.231130
0.191, 1.975061, -0.231130
0.192, 1.975061, -0.231130
0.193, 1.975061, -0.231130
0.194, 1.975061, -0.231130
0.195, 1.975061, -0.231130
0.196, 1.975061, -0.231130
0.197, 1.975061, -0.231130
0.198, 1.975061, -0.231130
0.199, 1.975061, -0.231130
0.2, 1.972749, -0.237471
0.201, 1.972749, -0.237471
0.202, 1.972749, -0.237471
0.203, 1.972749, -0.237471
0.204, 1.972749, -0.237471
0.205, 1.972749, -0.237471
0.206, 1.972749, -0.237471
0.207, 1.972749, -0.237471
0.208, 1.972749, -0.237471
0.209, 1.972749, -0.237471
0.21, 1.970374, -0.243464
0.211, 1.970374, -0.243464
0.212, 1.970374, -0.243464
0.213, 1.970374, -0.243464
0.214, 1.970374, -0.243464
0.215, 1.970374, -0.243464
0.216, 1.970374, -0.243464
0.217, 1.970374, -0.243464
0.218, 1.970374, -0.243464
0.219, 1.970374, -0.243464
0.22, 1.967940, -0.249133
0.221, 1.967940, -0.249133
0.222, 1.967940, -0.249133
0.223, 1.967940, -0.249133
0.224, 1.967940, -0.249133
0.225, 1.967940, -0.249133
0.226, 1.967940, -0.249133
0.227, 1.967940, -0.249133
0.228, 1.967940, -0.249133
0.229, 1.967940, -0.249133
0.23, 1.965449, -0.254498
0.231, 1.965449, -0.254498
0.232, 1.965449, -0.254498
0.233, 1.965449, -0.254498
0.234, 1.965449, -0.254498
0.235, 1.965449, -0.254498
0.236, 1.965449, -0.254498
0.237, 1.965449, -0.254498
0.238, 1.965449, -0.254498
0.239, 1.965449, -0.254498
0.24, 1.962904, -0.259580
0.241, 1.962904, -0.259580
0.242, 1.962904, -0.259580
0.243, 1.962904, -0.259580
0.244, 1.962904, -0.259580
0.245, 1.962904, -0.259580
0.246, 1.962904, -0.259580
0.247, 1.962904, -0.259580
0.248, 1.962904, -0.259580
0.249, 1.962904, -0.259580
0.25, 1.960308, -0.264397
0.251, 1.960308, -0.264397
0.252, 1.960308, -0.264397
0.253, 1.960308, -0.264397
0.254, 1.960308, -0.264397
0.255, 1.960308, -0.264397
0.256, 1.960308, -0.264397
0.257, 1.960308, -0.264397
0.258, 1.960308, -0.264397
0.259, 1.960308, -0.264397
0.26, 1.957664, -0.268968
0.261, 1.957664, -0.268968
0.262, 1.957664, -0.268968
0.263, 1.957664, -0.268968
0.264, 1.957664, -0.268968
0.265, 1.957664, -0.268968
0.266, 1.957664, -0.268968
0.267, 1.957664, -0.268968
0.268, 1.957664, -0.268968
0.269, 1.957664, -0.268968
0.27, 1.954974, -0.273308
0.271, 1.954974, -0.273308
0.272, 1.954974, -0.273308
0.273, 1.954974, -0.273308
0.274, 1.954974, -0.273308
0.275, 1.954974, -0.273308
0.276, 1.954974, -0.273308
0.277, 1.954974, -0.273308
0.278, 1.954974, -0.273308
0.279, 1.954974, -0.273308
0.28, 1.952241, -0.277432
0.281, 1.952241, -0.277432
0.282, 1.952241, -0.277432
0.283, 1.952241, -0.277432
0.284, 1.952241, -0.277432
0.285, 1.952241, -0.277432
