"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.h","system.fmu.der(h)","system.fmu.v","system.fmu.der(v)","system.fmu.v_min","system.fmu.g","system.fmu.e"
0, 1.5e-05, 1.59e-06, 0, 1, 0, 0, -9.81, 0.1, -9.81, 0.7
0.001, 1.857e-05, 2.9e-06, 0.001, 1, -0.00981, -0.00981, -9.81, 0.1, -9.81, 0.7
0.002, 2.601e-05, 3.51e-06, 0.002, 0.99999019, -0.01962, -0.01962, -9.81, 0.1, -9.81, 0.7
0.003, 3.165e-05, 4.01e-06, 0.003, 0.99997057, -0.02943, -0.02943, -9.81, 0.1, -9.81, 0.7
0.004, 3.6399e-05, 4.511e-06, 0.004, 0.99994114, -0.03924, -0.03924, -9.81, 0.1, -9.81, 0.7
0.005, 4.137e-05, 5.081e-06, 0.005, 0.9999019, -0.04905, -0.04905, -9.81, 0.1, -9.81, 0.7
0.006, 4.605e-05, 5.651e-06, 0.006, 0.99985285, -0.05886, -0.05886, -9.81, 0.1, -9.81, 0.7
0.007, 5.0711e-05, 6.152e-06, 0.007, 0.99979399, -0.06867, -0.06867, -9.81, 0.1, -9.81, 0.7
0.008, 5.5761e-05, 6.663e-06, 0.008, 0.99972532, -0.07848, -0.07848, -9.81, 0.1, -9.81, 0.7
0.009, 6.1061e-05, 7.172e-06, 0.009, 0.99964684, -0.08829, -0.08829, -9.81, 0.1, -9.81, 0.7
0.01, 6.5711e-05, 7.671e-06, 0.01, 0.99955855, -0.0981, -0.0981, -9.81, 0.1, -9.81, 0.7
0.011, 7.1201e-05, 8.182e-06, 0.011, 0.99946045, -0.10791, -0.10791, -9.81, 0.1, -9.81, 0.7
0.012, 7.6001e-05, 8.682e-06, 0.012, 0.99935254, -0.11772, -0.11772, -9.81, 0.1, -9.81, 0.7
0.013, 8.1401e-05, 9.192e-06, 0.013, 0.99923482, -0.12753, -0.12753, -9.81, 0.1, -9.81, 0.7
0.014, 8.698e-05, 9.672e-06, 0.014, 0.99910729, -0.13734, -0.13734, -9.81, 0.1, -9.81, 0.7
0.015, 9.166e-05, 1.0182e-05, 0.015, 0.99896995, -0.14715, -0.14715, -9.81, 0.1, -9.81, 0.7
