time,fmu.h,fmu.v
0.001, 1.000000, -0.009810
0.002, 0.999990, -0.019620
0.003, 0.999971, -0.029430
0.004, 0.999941, -0.039240
0.005, 0.999902, -0.049050
0.006, 0.999853, -0.058860
0.007, 0.999794, -0.068670
0.008, 0.999725, -0.078480
0.009, 0.999647, -0.088290
0.01, 0.999559, -0.098100
0.011, 0.999460, -0.107910
0.012, 0.999353, -0.117720
0.013, 0.999235, -0.127530
0.014, 0.999107, -0.137340
0.015, 0.998970, -0.147150
0.016, 0.998823, -0.156960
0.017, 0.998666, -0.166770
0.018, 0.998499, -0.176580
0.019, 0.998322, -0.186390
0.02, 0.998136, -0.196200
0.021, 0.997940, -0.206010
0.022, 0.997734, -0.215820
0.023, 0.997518, -0.225630
0.024, 0.997292, -0.235440
0.025, 0.997057, -0.245250
0.026, 0.996812, -0.255060
0.027, 0.996557, -0.264870
0.028, 0.996292, -0.274680
0.029, 0.996017, -0.284490
0.03, 0.995733, -0.294300
0.031, 0.995438, -0.304110
0.032, 0.995134, -0.313920
0.033, 0.994820, -0.323730
0.034, 0.994497, -0.333540
0.035, 0.994163, -0.343350
0.036, 0.993820, -0.353160
0.037, 0.993467, -0.362970
0.038, 0.993104, -0.372780
0.039, 0.992731, -0.382590
0.04, 0.992348, -0.392400
0.041, 0.991956, -0.402210
0.042, 0.991554, -0.412020
0.043, 0.991142, -0.421830
0.044, 0.990720, -0.431640
0.045, 0.990288, -0.441450
0.046, 0.989847, -0.451260
0.047, 0.989395, -0.461070
0.048, 0.988934, -0.470880
0.049, 0.988463, -0.480690
0.05, 0.987983, -0.490500
0.051, 0.987492, -0.500310
0.052, 0.986992, -0.510120
0.053, 0.986482, -0.519930
0.054, 0.985962, -0.529740
0.055, 0.985432, -0.539550
0.056, 0.984893, -0.549360
0.057, 0.984343, -0.559170
0.058, 0.983784, -0.568980
0.059, 0.983215, -0.578790
0.06, 0.982636, -0.588600
0.061, 0.982048, -0.598410
0.062, 0.981449, -0.608220
0.063, 0.980841, -0.618030
0.064, 0.980223, -0.627840
0.065, 0.979595, -0.637650
0.066, 0.978958, -0.647460
0.067, 0.978310, -0.657270
0.068, 0.977653, -0.667080
0.069, 0.976986, -0.676890
0.07, 0.976309, -0.686700
0.071, 0.975622, -0.696510
0.072, 0.974926, -0.706320
0.073, 0.974219, -0.716130
0.074, 0.973503, -0.725940
0.075, 0.972777, -0.735750
0.076, 0.972042, -0.745560
0.077, 0.971296, -0.755370
0.078, 0.970541, -0.765180
0.079, 0.969775, -0.774990
0.08, 0.969000, -0.784800
0.081, 0.968216, -0.794610
0.082, 0.967421, -0.804420
0.083, 0.966617, -0.814230
0.084, 0.965802, -0.824040
0.085, 0.964978, -0.833850
0.086, 0.964144, -0.843660
0.087, 0.963301, -0.853470
0.088, 0.962447, -0.863280
0.089, 0.961584, -0.873090
0.09, 0.960711, -0.882900
0.091, 0.959828, -0.892710
0.092, 0.958935, -0.902520
0.093, 0.958033, -0.912330
0.094, 0.957120, -0.922140
0.095, 0.956198, -0.931950
0.096, 0.955266, -0.941760
0.097, 0.954325, -0.951570
0.098, 0.953373, -0.961380
0.099, 0.952412, -0.971190
0.1, 0.951441, -0.981000
0.101, 0.950460, -0.990810
0.102, 0.949469, -1.000620
0.103, 0.948468, -1.010430
0.104, 0.947458, -1.020240
0.105, 0.946437, -1.030050
0.106, 0.945407, -1.039860
0.107, 0.944367, -1.049670
0.108, 0.943318, -1.059480
0.109, 0.942258, -1.069290
0.11, 0.941189, -1.079100
0.111, 0.940110, -1.088910
0.112, 0.939021, -1.098720
0.113, 0.937922, -1.108530
0.114, 0.936814, -1.118340
0.115, 0.935695, -1.128150
0.116, 0.934567, -1.137960
0.117, 0.933429, -1.147770
0.118, 0.932282, -1.157580
0.119, 0.931124, -1.167390
0.12, 0.929957, -1.177200
0.121, 0.928779, -1.187010
0.122, 0.927592, -1.196820
0.123, 0.926396, -1.206630
0.124, 0.925189, -1.216440
0.125, 0.923973, -1.226250
0.126, 0.922746, -1.236060
0.127, 0.921510, -1.245870
0.128, 0.920264, -1.255680
0.129, 0.919009, -1.265490
0.13, 0.917743, -1.275300
0.131, 0.916468, -1.285110
0.132, 0.915183, -1.294920
0.133, 0.913888, -1.304730
0.134, 0.912583, -1.314540
0.135, 0.911269, -1.324350
0.136, 0.909944, -1.334160
0.137, 0.908610, -1.343970
0.138, 0.907266, -1.353780
0.139, 0.905912, -1.363590
0.14, 0.904549, -1.373400
0.141, 0.903175, -1.383210
0.142, 0.901792, -1.393020
0.143, 0.900399, -1.402830
0.144, 0.898996, -1.412640
0.145, 0.897584, -1.422450
0.146, 0.896161, -1.432260
0.147, 0.894729, -1.442070
0.148, 0.893287, -1.451880
0.149, 0.891835, -1.461690
0.15, 0.890373, -1.471500
0.151, 0.888902, -1.481310
0.152, 0.887420, -1.491120
0.153, 0.885929, -1.500930
0.154, 0.884428, -1.510740
0.155, 0.882918, -1.520550
0.156, 0.881397, -1.530360
0.157, 0.879867, -1.540170
0.158, 0.878327, -1.549980
0.159, 0.876777, -1.559790
0.16, 0.875217, -1.569600
0.161, 0.873647, -1.579410
0.162, 0.872068, -1.589220
0.163, 0.870479, -1.599030
0.164, 0.868880, -1.608840
0.165, 0.867271, -1.618650
0.166, 0.865652, -1.628460
0.167, 0.864024, -1.638270
0.168, 0.862385, -1.648080
0.169, 0.860737, -1.657890
0.17, 0.859079, -1.667700
0.171, 0.857412, -1.677510
0.172, 0.855734, -1.687320
0.173, 0.854047, -1.697130
0.174, 0.852350, -1.706940
