"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0, 1.253e-05, 1.349e-06, 0, 1, -1, 1
0.001, 1.608e-05, 2.308e-06, 0, 1, -1, 1
0.002, 2.186e-05, 2.668e-06, 0, 1, -1, 1
0.003, 2.597e-05, 2.928e-06, 0, 1, -1, 1
0.004, 2.955e-05, 3.178e-06, 0, 1, -1, 1
0.005, 3.307e-05, 3.418e-06, 0, 1, -1, 1
0.006, 3.643e-05, 3.666e-06, 0, 1, -1, 1
0.007, 3.979e-05, 3.925e-06, 0, 1, -1, 1
0.008, 4.3169e-05, 4.186e-06, 0, 1, -1, 1
0.009, 4.6599e-05, 4.435e-06, 0, 1, -1, 1
0.01, 4.9978e-05, 4.694e-06, 0, 1, -1, 1
0.011, 5.3409e-05, 4.955e-06, 0, 1, -1, 1
0.012, 5.6788e-05, 5.204e-06, 0, 1, -1, 1
0.013, 6.0238e-05, 5.456e-06, 0, 1, -1, 1
0.014, 6.3688e-05, 5.717e-06, 0, 1, -1, 1
0.015, 6.7058e-05, 5.968e-06, 0, 1, -1, 1
0.016, 7.0479e-05, 6.23e-06, 0, 1, -1, 1
0.017, 7.411e-05, 6.49e-06, 0, 1, -1, 1
0.018, 7.7929e-05, 6.759e-06, 0, 1, -1, 1
0.019, 8.135e-05, 7.03e-06, 0, 1, -1, 1
0.02, 8.474e-05, 7.299e-06, 0, 1, -1, 1
0.021, 8.978e-05, 7.569e-06, 0, 1, -1, 1
0.022, 9.328e-05, 7.829e-06, 0, 1, -1, 1
0.023, 9.671e-05, 8.089e-06, 0, 1, -1, 1
0.024, 0.00010017, 8.349e-06, 0, 1, -1, 1
0.025, 0.00010367, 8.599e-06, 0, 1, -1, 1
0.026, 0.00010705, 8.859e-06, 0, 1, -1, 1
0.027, 0.000110679, 9.119e-06, 0, 1, -1, 1
0.028, 0.000114099, 9.37e-06, 0, 1, -1, 1
0.029, 0.000117598, 9.629e-06, 0, 1, -1, 1
0.03, 0.000121048, 9.89e-06, 0, 1, -1, 1
0.031, 0.000124519, 1.0162e-05, 0, 1, -1, 1
0.032, 0.000128119, 1.0432e-05, 0, 1, -1, 1
0.033, 0.0001315, 1.069e-05, 0, 1, -1, 1
0.034, 0.000134989, 1.0939e-05, 0, 1, -1, 1
0.035, 0.00013834, 1.12e-05, 0, 1, -1, 1
0.036, 0.00014179, 1.1448e-05, 0, 1, -1, 1
0.037, 0.00014518, 1.1718e-05, 0, 1, -1, 1
0.038, 0.00014862, 1.1977e-05, 0, 1, -1, 1
0.039, 0.0001521, 1.2248e-05, 0, 1, -1, 1
0.04, 0.00015563, 1.2497e-05, 0, 1, -1, 1
0.041, 0.00015907, 1.2758e-05, 0, 1, -1, 1
0.042, 0.00016253, 1.3018e-05, 0, 1, -1, 1
0.043, 0.00016603, 1.3268e-05, 0, 1, -1, 1
0.044, 0.00016946, 1.3528e-05, 0, 1, -1, 1
0.045, 0.000173, 1.3808e-05, 0, 1, -1, 1
0.046, 0.00017643, 1.4068e-05, 0, 1, -1, 1
