time,fmu.x
0.001, 1.000000
0.002, 1.000000
0.003, 1.000000
0.004, 1.000000
0.005, 1.000000
0.006, 1.000000
0.007, 1.000000
0.008, 1.000000
0.009, 1.000000
0.01, 1.000000
0.011, 1.000000
0.012, 1.000000
0.013, 1.000000
0.014, 1.000000
0.015, 1.000000
0.016, 1.000000
0.017, 1.000000
0.018, 1.000000
0.019, 1.000000
0.02, 1.000000
0.021, 1.000000
0.022, 1.000000
0.023, 1.000000
0.024, 1.000000
0.025, 1.000000
0.026, 1.000000
0.027, 1.000000
0.028, 1.000000
0.029, 1.000000
0.03, 1.000000
0.031, 1.000000
0.032, 1.000000
0.033, 1.000000
0.034, 1.000000
0.035, 1.000000
0.036, 1.000000
0.037, 1.000000
0.038, 1.000000
0.039, 1.000000
0.04, 1.000000
0.041, 1.000000
0.042, 1.000000
0.043, 1.000000
0.044, 1.000000
0.045, 1.000000
0.046, 1.000000
0.047, 1.000000
0.048, 1.000000
0.049, 1.000000
0.05, 1.000000
0.051, 1.000000
0.052, 1.000000
0.053, 1.000000
0.054, 1.000000
0.055, 1.000000
0.056, 1.000000
0.057, 1.000000
0.058, 1.000000
0.059, 1.000000
0.06, 1.000000
0.061, 1.000000
0.062, 1.000000
0.063, 1.000000
0.064, 1.000000
0.065, 1.000000
0.066, 1.000000
0.067, 1.000000
0.068, 1.000000
0.069, 1.000000
0.07, 1.000000
0.071, 1.000000
0.072, 1.000000
0.073, 1.000000
0.074, 1.000000
0.075, 1.000000
0.076, 1.000000
0.077, 1.000000
0.078, 1.000000
0.079, 1.000000
0.08, 1.000000
0.081, 1.000000
0.082, 1.000000
0.083, 1.000000
0.084, 1.000000
0.085, 1.000000
0.086, 1.000000
0.087, 1.000000
0.088, 1.000000
0.089, 1.000000
0.09, 1.000000
0.091, 1.000000
0.092, 1.000000
0.093, 1.000000
0.094, 1.000000
0.095, 1.000000
0.096, 1.000000
0.097, 1.000000
0.098, 1.000000
0.099, 1.000000
0.1, 0.900000
0.101, 0.900000
0.102, 0.900000
0.103, 0.900000
0.104, 0.900000
0.105, 0.900000
0.106, 0.900000
0.107, 0.900000
0.108, 0.900000
0.109, 0.900000
0.11, 0.900000
0.111, 0.900000
0.112, 0.900000
0.113, 0.900000
0.114, 0.900000
0.115, 0.900000
0.116, 0.900000
0.117, 0.900000
0.118, 0.900000
0.119, 0.900000
0.12, 0.900000
0.121, 0.900000
0.122, 0.900000
0.123, 0.900000
0.124, 0.900000
0.125, 0.900000
0.126, 0.900000
0.127, 0.900000
0.128, 0.900000
0.129, 0.900000
0.13, 0.900000
0.131, 0.900000
0.132, 0.900000
0.133, 0.900000
0.134, 0.900000
0.135, 0.900000
0.136, 0.900000
0.137, 0.900000
0.138, 0.900000
0.139, 0.900000
0.14, 0.900000
0.141, 0.900000
0.142, 0.900000
0.143, 0.900000
0.144, 0.900000
0.145, 0.900000
0.146, 0.900000
0.147, 0.900000
0.148, 0.900000
0.149, 0.900000
0.15, 0.900000
0.151, 0.900000
0.152, 0.900000
0.153, 0.900000
0.154, 0.900000
0.155, 0.900000
0.156, 0.900000
0.157, 0.900000
0.158, 0.900000
0.159, 0.900000
0.16, 0.900000
0.161, 0.900000
0.162, 0.900000
0.163, 0.900000
0.164, 0.900000
0.165, 0.900000
0.166, 0.900000
0.167, 0.900000
0.168, 0.900000
0.169, 0.900000
0.17, 0.900000
0.171, 0.900000
0.172, 0.900000
0.173, 0.900000
0.174, 0.900000
0.175, 0.900000
0.176, 0.900000
0.177, 0.900000
0.178, 0.900000
0.179, 0.900000
0.18, 0.900000
0.181, 0.900000
0.182, 0.900000
0.183, 0.900000
0.184, 0.900000
0.185, 0.900000
0.186, 0.900000
0.187, 0.900000
0.188, 0.900000
0.189, 0.900000
0.19, 0.900000
0.191, 0.900000
0.192, 0.900000
0.193, 0.900000
0.194, 0.900000
0.195, 0.900000
0.196, 0.900000
0.197, 0.900000
0.198, 0.900000
0.199, 0.900000
0.2, 0.810000
0.201, 0.810000
0.202, 0.810000
0.203, 0.810000
0.204, 0.810000
0.205, 0.810000
0.206, 0.810000
0.207, 0.810000
0.208, 0.810000
0.209, 0.810000
0.21, 0.810000
0.211, 0.810000
0.212, 0.810000
0.213, 0.810000
0.214, 0.810000
0.215, 0.810000
0.216, 0.810000
0.217, 0.810000
0.218, 0.810000
0.219, 0.810000
