"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x0","system.fmu.der(x0)","system.fmu.x1","system.fmu.der(x1)","system.fmu.mu"
0, 1.948e-05, 1.131e-06, 0, 2, 0, 0, -2, 1
0.001, 2.259e-05, 2.05e-06, 0, 2, 0, 0, -2, 1
0.002, 2.8999e-05, 2.469e-06, 0, 2, 0, 0, -2, 1
0.003, 3.4089e-05, 2.856e-06, 0, 2, 0, 0, -2, 1
0.004, 3.8618e-05, 3.225e-06, 0, 2, 0, 0, -2, 1
0.005, 4.3197e-05, 3.595e-06, 0, 2, 0, 0, -2, 1
0.006, 4.7588e-05, 3.955e-06, 0, 2, 0, 0, -2, 1
0.007, 5.1928e-05, 4.323e-06, 0, 2, 0, 0, -2, 1
0.008, 5.6307e-05, 4.674e-06, 0, 2, 0, 0, -2, 1
0.009, 6.0657e-05, 5.055e-06, 0, 2, 0, 0, -2, 1
0.01, 6.5497e-05, 5.765e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.011, 7.0147e-05, 6.145e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.012, 7.4667e-05, 6.515e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.013, 7.9107e-05, 6.875e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.014, 8.3507e-05, 7.255e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.015, 8.7977e-05, 7.615e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.016, 9.2327e-05, 7.975e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.017, 9.6897e-05, 8.336e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.018, 0.000101267, 8.686e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.019, 0.000105907, 9.045e-06, 0.01, 2, -0.02, -0.02, -1.94, 1
0.02, 0.000110677, 9.586e-06, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.021, 0.000115378, 9.944e-06, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.022, 0.000119997, 1.0313e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.023, 0.000124637, 1.0681e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.024, 0.000129317, 1.1052e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.025, 0.000133917, 1.1414e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.026, 0.000138437, 1.1766e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.027, 0.000142877, 1.2126e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.028, 0.000147417, 1.2506e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.029, 0.000151937, 1.2886e-05, 0.02, 1.9998, -0.0394, -0.0394, -1.88163151842, 1
0.03, 0.000156657, 1.3406e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.031, 0.000161397, 1.3776e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.032, 0.000165997, 1.4146e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.033, 0.000170627, 1.4516e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.034, 0.000175187, 1.4865e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.035, 0.000179627, 1.5234e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.036, 0.000184258, 1.5605e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.037, 0.000188677, 1.5963e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.038, 0.000193216, 1.6334e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.039, 0.000197936, 1.6704e-05, 0.03, 1.999406, -0.0582163151842, -0.0582163151842, -1.82489535587, 1
0.04, 0.000202626, 1.7215e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.041, 0.000207426, 1.7575e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.042, 0.000212166, 1.7926e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.043, 0.000216747, 1.8276e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.044, 0.000221357, 1.8646e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.045, 0.000225897, 1.9006e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.046, 0.000230517, 1.9356e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.047, 0.000235117, 1.9716e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.048, 0.000239607, 2.0086e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.049, 0.000244247, 2.0446e-05, 0.04, 1.99882383685, -0.076465268743, -0.076465268743, -1.76978766737, 1
0.05, 0.000252397, 2.0975e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.051, 0.000257427, 2.1343e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.052, 0.000262018, 2.1712e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.053, 0.000266599, 2.2071e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.054, 0.000271159, 2.2432e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.055, 0.000275679, 2.2791e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.056, 0.000280249, 2.3163e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.057, 0.000284769, 2.3515e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.058, 0.000289339, 2.3887e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.059, 0.000293839, 2.4257e-05, 0.05, 1.99805918416, -0.0941631454166, -0.0941631454166, -1.71630040652, 1
0.06, 0.000298549, 2.4777e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.061, 0.000303219, 2.5137e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.062, 0.000307759, 2.5497e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.063, 0.000312269, 2.5867e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.064, 0.000316719, 2.6237e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.065, 0.000321279, 2.6587e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.066, 0.000325839, 2.6956e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.067, 0.000330319, 2.7325e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.068, 0.000334799, 2.7686e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.069, 0.000339469, 2.8064e-05, 0.06, 1.99711755271, -0.111326149482, -0.111326149482, -1.66442174634, 1
0.07, 0.000344149, 2.8584e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.071, 0.000348718, 2.8944e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.072, 0.000353407, 2.9314e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.073, 0.000357946, 2.9686e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.074, 0.000362586, 3.0046e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.075, 0.000367036, 3.0414e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.076, 0.000371576, 3.0774e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.077, 0.000376096, 3.1144e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.078, 0.000380636, 3.1504e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.079, 0.000385146, 3.1854e-05, 0.07, 1.99600429121, -0.127970366945, -0.127970366945, -1.61413647652, 1
0.08, 0.000389836, 3.2374e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.081, 0.000394396, 3.2734e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.082, 0.000398966, 3.3094e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.083, 0.000403457, 3.3463e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.084, 0.000408047, 3.383e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.085, 0.000412577, 3.419e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.086, 0.000417097, 3.4559e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.087, 0.000421478, 3.492e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.088, 0.000426038, 3.529e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.089, 0.000433159, 3.5651e-05, 0.08, 1.99472458754, -0.14411173171, -0.14411173171, -1.56542637708, 1
0.09, 0.000438069, 3.6191e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.091, 0.000442858, 3.656e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.092, 0.000447358, 3.693e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.093, 0.000451938, 3.73e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.094, 0.000456508, 3.766e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.095, 0.000461088, 3.802e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
0.096, 0.000465538, 3.839e-05, 0.09, 1.99328347023, -0.159765995481, -0.159765995481, -1.51827056872, 1
