time,x0,x1
0.001, 2.000000, 0.000000
0.002, 2.000000, 0.000000
0.003, 2.000000, 0.000000
0.004, 2.000000, 0.000000
0.005, 2.000000, 0.000000
0.006, 2.000000, 0.000000
0.007, 2.000000, 0.000000
0.008, 2.000000, 0.000000
0.009, 2.000000, 0.000000
0.01, 2.000000, -0.020000
0.011, 2.000000, -0.020000
0.012, 2.000000, -0.020000
0.013, 2.000000, -0.020000
0.014, 2.000000, -0.020000
0.015, 2.000000, -0.020000
0.016, 2.000000, -0.020000
0.017, 2.000000, -0.020000
0.018, 2.000000, -0.020000
0.019, 2.000000, -0.020000
0.02, 1.999800, -0.039400
0.021, 1.999800, -0.039400
0.022, 1.999800, -0.039400
0.023, 1.999800, -0.039400
0.024, 1.999800, -0.039400
0.025, 1.999800, -0.039400
0.026, 1.999800, -0.039400
0.027, 1.999800, -0.039400
0.028, 1.999800, -0.039400
0.029, 1.999800, -0.039400
0.03, 1.999406, -0.058216
0.031, 1.999406, -0.058216
0.032, 1.999406, -0.058216
0.033, 1.999406, -0.058216
0.034, 1.999406, -0.058216
0.035, 1.999406, -0.058216
0.036, 1.999406, -0.058216
0.037, 1.999406, -0.058216
0.038, 1.999406, -0.058216
0.039, 1.999406, -0.058216
0.04, 1.998824, -0.076465
0.041, 1.998824, -0.076465
0.042, 1.998824, -0.076465
0.043, 1.998824, -0.076465
0.044, 1.998824, -0.076465
0.045, 1.998824, -0.076465
0.046, 1.998824, -0.076465
0.047, 1.998824, -0.076465
0.048, 1.998824, -0.076465
0.049, 1.998824, -0.076465
0.05, 1.998059, -0.094163
0.051, 1.998059, -0.094163
0.052, 1.998059, -0.094163
0.053, 1.998059, -0.094163
0.054, 1.998059, -0.094163
0.055, 1.998059, -0.094163
0.056, 1.998059, -0.094163
0.057, 1.998059, -0.094163
0.058, 1.998059, -0.094163
0.059, 1.998059, -0.094163
0.06, 1.997118, -0.111326
0.061, 1.997118, -0.111326
0.062, 1.997118, -0.111326
0.063, 1.997118, -0.111326
0.064, 1.997118, -0.111326
0.065, 1.997118, -0.111326
0.066, 1.997118, -0.111326
0.067, 1.997118, -0.111326
0.068, 1.997118, -0.111326
0.069, 1.997118, -0.111326
0.07, 1.996004, -0.127970
0.071, 1.996004, -0.127970
0.072, 1.996004, -0.127970
0.073, 1.996004, -0.127970
0.074, 1.996004, -0.127970
0.075, 1.996004, -0.127970
0.076, 1.996004, -0.127970
0.077, 1.996004, -0.127970
0.078, 1.996004, -0.127970
0.079, 1.996004, -0.127970
0.08, 1.994725, -0.144112
0.081, 1.994725, -0.144112
0.082, 1.994725, -0.144112
0.083, 1.994725, -0.144112
0.084, 1.994725, -0.144112
0.085, 1.994725, -0.144112
0.086, 1.994725, -0.144112
0.087, 1.994725, -0.144112
0.088, 1.994725, -0.144112
0.089, 1.994725, -0.144112
0.09, 1.993283, -0.159766
0.091, 1.993283, -0.159766
0.092, 1.993283, -0.159766
0.093, 1.993283, -0.159766
0.094, 1.993283, -0.159766
0.095, 1.993283, -0.159766
0.096, 1.993283, -0.159766
0.097, 1.993283, -0.159766
0.098, 1.993283, -0.159766
0.099, 1.993283, -0.159766
0.1, 1.991686, -0.174949
0.101, 1.991686, -0.174949
0.102, 1.991686, -0.174949
0.103, 1.991686, -0.174949
0.104, 1.991686, -0.174949
0.105, 1.991686, -0.174949
0.106, 1.991686, -0.174949
0.107, 1.991686, -0.174949
0.108, 1.991686, -0.174949
0.109, 1.991686, -0.174949
0.11, 1.989936, -0.189675
0.111, 1.989936, -0.189675
0.112, 1.989936, -0.189675
0.113, 1.989936, -0.189675
0.114, 1.989936, -0.189675
0.115, 1.989936, -0.189675
0.116, 1.989936, -0.189675
0.117, 1.989936, -0.189675
0.118, 1.989936, -0.189675
0.119, 1.989936, -0.189675
0.12, 1.988040, -0.203960
0.121, 1.988040, -0.203960
0.122, 1.988040, -0.203960
0.123, 1.988040, -0.203960
0.124, 1.988040, -0.203960
0.125, 1.988040, -0.203960
0.126, 1.988040, -0.203960
0.127, 1.988040, -0.203960
0.128, 1.988040, -0.203960
0.129, 1.988040, -0.203960
0.13, 1.986000, -0.217819
0.131, 1.986000, -0.217819
0.132, 1.986000, -0.217819
0.133, 1.986000, -0.217819
0.134, 1.986000, -0.217819
0.135, 1.986000, -0.217819
0.136, 1.986000, -0.217819
0.137, 1.986000, -0.217819
0.138, 1.986000, -0.217819
0.139, 1.986000, -0.217819
0.14, 1.983822, -0.231266
0.141, 1.983822, -0.231266
0.142, 1.983822, -0.231266
0.143, 1.983822, -0.231266
0.144, 1.983822, -0.231266
0.145, 1.983822, -0.231266
0.146, 1.983822, -0.231266
0.147, 1.983822, -0.231266
0.148, 1.983822, -0.231266
0.149, 1.983822, -0.231266
0.15, 1.981509, -0.244316
0.151, 1.981509, -0.244316
0.152, 1.981509, -0.244316
0.153, 1.981509, -0.244316
0.154, 1.981509, -0.244316
0.155, 1.981509, -0.244316
0.156, 1.981509, -0.244316
0.157, 1.981509, -0.244316
0.158, 1.981509, -0.244316
0.159, 1.981509, -0.244316
0.16, 1.979066, -0.256981
0.161, 1.979066, -0.256981
0.162, 1.979066, -0.256981
0.163, 1.979066, -0.256981
0.164, 1.979066, -0.256981
0.165, 1.979066, -0.256981
0.166, 1.979066, -0.256981
0.167, 1.979066, -0.256981
0.168, 1.979066, -0.256981
0.169, 1.979066, -0.256981
0.17, 1.976496, -0.269276
0.171, 1.976496, -0.269276
0.172, 1.976496, -0.269276
0.173, 1.976496, -0.269276
0.174, 1.976496, -0.269276
0.175, 1.976496, -0.269276
0.176, 1.976496, -0.269276
0.177, 1.976496, -0.269276
0.178, 1.976496, -0.269276
0.179, 1.976496, -0.269276
0.18, 1.973803, -0.281215
0.181, 1.973803, -0.281215
0.182, 1.973803, -0.281215
0.183, 1.973803, -0.281215
0.184, 1.973803, -0.281215
0.185, 1.973803, -0.281215
0.186, 1.973803, -0.281215
0.187, 1.973803, -0.281215
0.188, 1.973803, -0.281215
0.189, 1.973803, -0.281215
0.19, 1.970991, -0.292809
0.191, 1.970991, -0.292809
0.192, 1.970991, -0.292809
0.193, 1.970991, -0.292809
0.194, 1.970991, -0.292809
0.195, 1.970991, -0.292809
0.196, 1.970991, -0.292809
0.197, 1.970991, -0.292809
0.198, 1.970991, -0.292809
0.199, 1.970991, -0.292809
0.2, 1.968063, -0.304072
0.201, 1.968063, -0.304072
0.202, 1.968063, -0.304072
0.203, 1.968063, -0.304072
0.204, 1.968063, -0.304072
0.205, 1.968063, -0.304072
0.206, 1.968063, -0.304072
0.207, 1.968063, -0.304072
0.208, 1.968063, -0.304072
0.209, 1.968063, -0.304072
0.21, 1.965022, -0.315016
0.211, 1.965022, -0.315016
0.212, 1.965022, -0.315016
0.213, 1.965022, -0.315016
0.214, 1.965022, -0.315016
0.215, 1.965022, -0.315016
0.216, 1.965022, -0.315016
0.217, 1.965022, -0.315016
0.218, 1.965022, -0.315016
0.219, 1.965022, -0.315016
0.22, 1.961872, -0.325652
0.221, 1.961872, -0.325652
0.222, 1.961872, -0.325652
0.223, 1.961872, -0.325652
0.224, 1.961872, -0.325652
0.225, 1.961872, -0.325652
0.226, 1.961872, -0.325652
0.227, 1.961872, -0.325652
0.228, 1.961872, -0.325652
0.229, 1.961872, -0.325652
0.23, 1.958616, -0.335993
0.231, 1.958616, -0.335993
0.232, 1.958616, -0.335993
0.233, 1.958616, -0.335993
0.234, 1.958616, -0.335993
0.235, 1.958616, -0.335993
0.236, 1.958616, -0.335993
0.237, 1.958616, -0.335993
0.238, 1.958616, -0.335993
0.239, 1.958616, -0.335993
0.24, 1.955256, -0.346050
0.241, 1.955256, -0.346050
0.242, 1.955256, -0.346050
0.243, 1.955256, -0.346050
0.244, 1.955256, -0.346050
0.245, 1.955256, -0.346050
0.246, 1.955256, -0.346050
0.247, 1.955256, -0.346050
0.248, 1.955256, -0.346050
0.249, 1.955256, -0.346050
0.25, 1.951795, -0.355834
0.251, 1.951795, -0.355834
0.252, 1.951795, -0.355834
0.253, 1.951795, -0.355834
0.254, 1.951795, -0.355834
0.255, 1.951795, -0.355834
0.256, 1.951795, -0.355834
0.257, 1.951795, -0.355834
0.258, 1.951795, -0.355834
0.259, 1.951795, -0.355834
0.26, 1.948237, -0.365355
0.261, 1.948237, -0.365355
0.262, 1.948237, -0.365355
0.263, 1.948237, -0.365355
0.264, 1.948237, -0.365355
0.265, 1.948237, -0.365355
0.266, 1.948237, -0.365355
0.267, 1.948237, -0.365355
0.268, 1.948237, -0.365355
0.269, 1.948237, -0.365355
0.27, 1.944583, -0.374623
0.271, 1.944583, -0.374623
0.272, 1.944583, -0.374623
0.273, 1.944583, -0.374623
0.274, 1.944583, -0.374623
0.275, 1.944583, -0.374623
0.276, 1.944583, -0.374623
0.277, 1.944583, -0.374623
0.278, 1.944583, -0.374623
0.279, 1.944583, -0.374623
0.28, 1.940837, -0.383649
0.281, 1.940837, -0.383649
0.282, 1.940837, -0.383649
0.283, 1.940837, -0.383649
0.284, 1.940837, -0.383649
0.285, 1.940837, -0.383649
